ticker,form,keywords,summary,volatility_before,summary_length,has_numbers_in_summary,num_keywords_matched,market_cap,sector,pct_1d,pct_3d
PNBK,4,private placement,"On July 3, 2025, Steven Sugarman, President and CEO of Patriot National Bancorp Inc., reported the disposition of 19,167 shares of Series A Preferred Stock through a Form 4 filing. The key catalyst is the sale of these preferred shares, which may impact the company's ownership structure and stockholder dynamics.",0.047169917538276256,313,0,1,124208272.0,Financial Services,0,0
MYSZ,DEF 14A,reverse stock split,"My Size, Inc. filed a DEF 14A proxy statement indicating its fiscal year ends on December 31, 2024. The filing does not specify a particular catalyst or event; it primarily provides standard information about the company's upcoming annual meeting and governance.",0.02217353667973085,262,0,1,4127407.0,Technology,0,0
EQBK,8-K,securities purchase agreement,"Equity BancShares Inc. filed an 8-K reporting the entry into a material definitive agreement and unregistered sales of equity securities. The filing's key catalyst is the company's announcement of a significant transaction or agreement, as of July 2, 2025.",0.5977944859033046,256,0,1,760875072.0,Financial Services,0,0
LIXTW,8-K,private placement;securities purchase agreement;reverse stock split,"Lixte Biotechnology Holdings, Inc. filed an 8-K reporting entry into a material definitive agreement. The filing does not specify the details of the agreement but indicates a significant corporate event occurring on July 8, 2025. The key catalyst appears to be the company's entry into a notable agreement, though further details are not provided in the summary.",0.09196013723329899,362,0,3,,Healthcare,-1,0
CV,4,reverse stock split,"On July 3, 2025, Eliyahu Harari and related parties acquired 3,186,904 shares of CapsoVision, Inc. (CV) common stock, representing a significant ownership stake. This transaction is the key catalyst, indicating a substantial increase in ownership by Harari et al. in the company.",0.47085034187226144,279,0,1,208117440.0,Healthcare,1,0
XTNT,8-K,entered into agreement,"Xtant Medical Holdings, Inc. filed an 8-K report on July 8, 2025, announcing the entry into a material definitive agreement. The filing also includes Regulation FD disclosures and other event details, but the specific key catalyst or material agreement details are not provided in the excerpt.",0.020615534970717702,293,0,1,90950064.0,Healthcare,0,0
MULN,DEF 14A,private placement;securities purchase agreement;reverse stock split,"Mullen Automotive Inc. filed a Schedule 14A proxy statement on July 8, 2025, indicating a key catalyst related to upcoming shareholder meetings and voting matters. The filing highlights the company's ongoing corporate governance activities, with the next scheduled meeting date set for July 22, 2025.",0.03915780366218886,300,0,3,1593496.0,Consumer Cyclical,-1,0
PGNY,8-K,private placement;acquired beneficial ownership,"On July 1, 2025, Progyny, Inc. entered into a material definitive agreement, as disclosed in its Form 8-K filing. The filing highlights the creation of a new direct financial obligation, which is the key catalyst. This transaction represents a significant development in the company's financial activities during the reporting period.",0.353211274807862,334,0,2,2007772800.0,Healthcare,1,0
BCTXZ,S-1,private placement;securities purchase agreement;reverse stock split,"BriaCell Therapeutics Corp. filed an S-1 registration statement on July 8, 2025, indicating plans to raise capital through a public offering. The filing marks a key step toward potential equity issuance, which could provide funding for the company's operations and development activities.",,288,0,3,,Healthcare,0,0
SLRX,8-K,securities purchase agreement;reverse stock split,"Salarius Pharmaceuticals, Inc. filed an 8-K report on July 8, 2025, related to a matter submitted to a vote of security holders. The filing indicates that the company, formerly known as Flex Pharma, Inc., is reporting on a recent shareholder vote or decision. The key catalyst appears to be a significant corporate event or decision approved by shareholders, though specific details of the matter are not provided in the excerpt.",0.03131559117352064,429,0,2,1615038.0,Healthcare,0,0
